data,values,cod,abbreviation,kurs_rub
1980-12-01,Bolg lion,975,BGN,0.7692
1980-12-16,Bolg lion,975,BGN,0.7692
1981-01-01,Bolg lion,975,BGN,0.7692
1981-01-16,Bolg lion,975,BGN,0.7692
1981-02-01,Bolg lion,975,BGN,0.7692
1981-02-16,Bolg lion,975,BGN,0.7692
1981-03-01,Bolg lion,975,BGN,0.7692
1981-03-16,Bolg lion,975,BGN,0.7692
1981-04-01,Bolg lion,975,BGN,0.7692
1981-04-16,Bolg lion,975,BGN,0.7692
1981-05-01,Bolg lion,975,BGN,0.7692
1981-05-16,Bolg lion,975,BGN,0.7692
1981-06-01,Bolg lion,975,BGN,0.7692
1981-06-16,Bolg lion,975,BGN,0.7692
1981-07-01,Bolg lion,975,BGN,0.7692
1981-07-02,Bolg lion,975,BGN,0.7692
1981-07-16,Bolg lion,975,BGN,0.7692
1981-08-01,Bolg lion,975,BGN,0.7692
1981-08-16,Bolg lion,975,BGN,0.7692
1981-09-01,Bolg lion,975,BGN,0.7692
1981-09-16,Bolg lion,975,BGN,0.7692
